Mach,Cd
0.00,1.2800
0.05,1.2800
0.10,1.2800
0.15,1.2800
0.20,1.2802
0.25,1.2804
0.30,1.2808
0.35,1.2815
0.40,1.2825
0.45,1.2840
0.50,1.2861
0.55,1.2889
0.60,1.2927
0.65,1.2974
0.70,1.3034
0.75,1.3109
0.80,1.3200
0.85,1.3366
0.90,1.3763
0.95,1.4237
1.00,1.4634
1.05,1.4800
1.10,1.4593
1.15,1.4207
1.20,1.4000
1.25,1.3595
1.30,1.3243
1.35,1.2936
1.40,1.2668
1.45,1.2434
1.50,1.2231
1.55,1.2054
1.60,1.1899
1.65,1.1765
1.70,1.1647
1.75,1.1545
1.80,1.1456
1.85,1.1378
1.90,1.1310
1.95,1.1251
2.00,1.1200
